Artists,Name,Date,Genre,Writing.Credits,Features
Pinkfong,Baby Shark,17-Jun-16,"Alternative Rock,Memes,Children&#39;s Music,Pop","Robin davies, Shawnee lamb",
Old Dominion,Make It Sweet,8-Oct-18,Country,"Whit sellers, Trevor rosen, Shane mcanally, Matthew thomas ramsey, Geoff sprung, Brad tursi",
Ella Mai,Shot Clock,12-Oct-18,"UK,R&;B","Mustard, Ella mai",
"Lauv, Troye Sivan",I'm So Tired...,24-Jan-19,Pop,"Lauv, Michael pollack, Troye sivan, Leland, Ozgo",
Billie Eilish,You Should See Me In A Crown,18-Jul-18,"Indie,Hip-Hop,Dark Pop,Alternative Pop,Alternative,Electro-Pop,Trap,Dream-Pop,Indie Pop,Pop","Billie eilish, Finneas",
Avicii,SOS,10-Apr-19,"Electro,Electronic,Electro-Pop,Dance-Pop,Dance,Scandipop,Scandinavia,West Coast,EDM,Sverige,Pop","Bonn, Kandi, Tameka tiny harris, Kevin briggs, Albin nedler, Avicii",Aloe Blacc
Billie Eilish,Wish You Were Gay,4-Mar-19,"Indie,Indie Pop,Alternative,Alternative Pop,Pop","Billie eilish, Finneas",
Lil Uzi Vert,That's A Rack,9-Apr-19,"East Coast,Trap,Rap","Oogie mane, Lil uzi vert",
2 Chainz,Rule The World,1-Mar-19,"R&;B,Rap","2 chainz, Cardiak, Hitmaka, Rob holladay, Lerron carson, Moore melvin ray iii, Racquelle rahky anteola, Rich harrison",Ariana Grande
Roddy Ricch,Die Young,3-Jul-18,"R&;B,Trap,Rap","Rex kudo, London on da track, Roddy ricch",
"Ellie Goulding, Diplo",Close To Me,24-Oct-18,"Electronic Trap,Dance-Pop,Trap,Electronic,Dance,Electro,Electro-Pop,Rap,Pop","Ellie goulding, Savan kotecha, Peter svensson, Ilya, Swae lee, Diplo",Swae Lee
Lauren Daigle,You Say,13-Jul-18,"Worship,Christian Pop,Pop,Christian","Paul mabury, Lauren daigle, Jason ingram",
A Boogie Wit da Hoodie,Swervin,21-Dec-18,"Trap,Rap","A boogie wit da hoodie, 6ix9ine, K rich, London on da track",6ix9ine
"SZA, The Weeknd, Travis Scott",Power Is Power,18-Apr-19,"Hip-Hop,Canada,Soundtrack,Rap,Pop","Sam harris, The weeknd, Belly, Ricky reed, Travis scott, Daheala, Myles martin, Sza, Victor dimotsis, Zach cooper",
"PnB Rock, XXXTENTACION",Middle Child,3-May-19,"Cloud Rap,Trap,Rap","Datkidchris, Xxxtentacion, Pnb rock",
"Lil Peep, iLoveMakonnen",I've Been Waiting,31-Jan-19,"Hip-Hop,Alternative,Alternative Rock,Emo Rap,Emo,Rap","Valentin leon blavatnik, Louis bell, Brian lee, Brenton duvall, Andy hurley, Patrick stump, Pete wentz, Joe trohman, Lil peep, Ilovemakonnen",Fall Out Boy
"Anuel AA, Karol G",Secreto,15-Jan-19,"Puerto Rico,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Music,Latin Urban","Prida, Ez el ezeta, Karol g, Anuel aa",
Ski Mask The Slump God,Faucet Failure,30-Nov-18,"Hip-Hop,Afro Trap,Trap,Rap","Cubeatz, Chasethemoney, Ski mask the slump god",
